_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,musical_background,visual_impairments,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,musicpref_traditional_irish,musicpref_world,musicpref_dance,musicpref_rock,musicpref_jazz,musicpref_hip_hop,musicpref_none,musicpref_classical,musicpref_hiphop,musicpref_pop,musicpref_folk
5410fd5c08ad6ee3090e5223,dublin,,irish,32.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,3.0,,,,,hallelujah,1,1,0,1,1,1,0,1,0,1,0
5410fda608ad6ee3090e5348,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,3.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,1.0,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410ffdb08ad6ee3090e5bb8,dublin,,irish,21.0,male,False,,,,,,,,,,,1.0,,True,,,,,,,,,2.0,4.0,3.0,3.0,3.0,4.0,False,,,,,,,,,,,,1.0,,,,,hallelujah,0,0,1,1,0,0,0,0,0,0,0
5411015608ad6ee3090e6171,dublin,,irish,12.0,male,False,,,,,,,,,,,2.0,,True,,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,False,,,,,,,,,,,,1.0,,,,,hallelujah,0,0,0,0,0,0,0,0,0,1,0
541101b808ad6ee3090e62eb,dublin,,irish,39.0,male,False,,,,,,,,,,,2.0,,True,,,,,,,,,3.0,3.0,1.0,4.0,3.0,4.0,False,,,,,,,,,,,,4.0,,,,,hallelujah,0,0,1,0,1,0,0,0,0,1,0
541101b908ad6ee3090e6304,dublin,,irish,29.0,female,False,,,,,,,,,,,3.0,,True,,,,,,,,,2.0,4.0,2.0,4.0,3.0,4.0,False,,,,,,,,,,,,1.0,,,,,hallelujah,0,1,0,1,0,0,0,0,0,1,0
5411031008ad6ee3090e67e0,dublin,,irish,34.0,female,True,,,,,,,,,,,4.0,,True,,,,,,,,,1.0,5.0,1.0,2.0,1.0,5.0,True,,,,,,,,,,,,4.0,,,,,hallelujah,0,0,0,1,0,0,0,0,0,1,0
5411031108ad6ee3090e67ed,dublin,,irish,19.0,male,False,,,,,,,,,,,5.0,,True,,,,,,,,,1.0,1.0,1.0,2.0,4.0,5.0,True,,,,,,,,,,,,5.0,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5411031208ad6ee3090e67fb,dublin,,irish,29.0,male,False,,,,,,,,,,,4.0,,True,,,,,,,,,1.0,4.0,2.0,2.0,4.0,5.0,True,,,,,,,,,,,,4.0,,,,,hallelujah,0,1,1,1,1,0,0,0,0,0,0
5411047608ad6ee3090e6ccd,dublin,,irish,56.0,female,False,,,,,,,,,,,4.0,,True,,,,,,,,,1.0,4.0,1.0,1.0,1.0,5.0,False,,,,,,,,,,,,5.0,,,,,hallelujah,1,1,0,1,0,0,0,1,0,0,0
